[    6409ms] [LOG] [Learn] Filtered unlearned verses: {total: 0, unlearned: 0, filtered: Array(0)} @ http://localhost:5173/src/lib/components/LearningFlow.svelte:834
[  140757ms] [LOG] [Learn] Filtered unlearned verses: {total: 0, unlearned: 0, filtered: Array(0)} @ http://localhost:5173/src/lib/components/LearningFlow.svelte:834
[  172161ms] [LOG] [Learn] Filtered unlearned verses: {total: 0, unlearned: 0, filtered: Array(0)} @ http://localhost:5173/src/lib/components/LearningFlow.svelte:834
[  207873ms] [LOG] [Learn] Filtered unlearned verses: {total: 0, unlearned: 0, filtered: Array(0)} @ http://localhost:5173/src/lib/components/LearningFlow.svelte:834
[  254482ms] [LOG] [Learn] Filtered unlearned verses: {total: 0, unlearned: 0, filtered: Array(0)} @ http://localhost:5173/src/lib/components/LearningFlow.svelte:834
[  302946ms] [LOG] [Learn] Filtered unlearned verses: {total: 3, unlearned: 0, filtered: Array(0)} @ http://localhost:5173/src/lib/components/LearningFlow.svelte:834
[  916061ms] [LOG] [Learn] Filtered unlearned verses: {total: 3, unlearned: 0, filtered: Array(0)} @ http://localhost:5173/src/lib/components/LearningFlow.svelte?t=1777091664029:834
[  919939ms] [LOG] [Learn] Filtered unlearned verses: {total: 3, unlearned: 0, filtered: Array(0)} @ http://localhost:5173/src/lib/components/LearningFlow.svelte?t=1777091667958:834
[  929600ms] [LOG] [Learn] Filtered unlearned verses: {total: 3, unlearned: 0, filtered: Array(0)} @ http://localhost:5173/src/lib/components/LearningFlow.svelte?t=1777091677631:834
[  935935ms] [LOG] [Learn] Filtered unlearned verses: {total: 3, unlearned: 0, filtered: Array(0)} @ http://localhost:5173/src/lib/components/LearningFlow.svelte?t=1777091683935:834
[  997333ms] [LOG] [Learn] Filtered unlearned verses: {total: 3, unlearned: 0, filtered: Array(0)} @ http://localhost:5173/src/lib/components/LearningFlow.svelte?t=1777091745255:834
[ 1006074ms] [LOG] [Learn] Filtered unlearned verses: {total: 3, unlearned: 0, filtered: Array(0)} @ http://localhost:5173/src/lib/components/LearningFlow.svelte?t=1777091754040:834
[ 1008764ms] [LOG] [Learn] Filtered unlearned verses: {total: 3, unlearned: 0, filtered: Array(0)} @ http://localhost:5173/src/lib/components/LearningFlow.svelte?t=1777091756670:834
[ 1030452ms] [LOG] [Learn] Filtered unlearned verses: {total: 3, unlearned: 0, filtered: Array(0)} @ http://localhost:5173/src/lib/components/LearningFlow.svelte?t=1777091778489:834
[ 1034493ms] [LOG] [Learn] Filtered unlearned verses: {total: 3, unlearned: 0, filtered: Array(0)} @ http://localhost:5173/src/lib/components/LearningFlow.svelte?t=1777091782481:834
[ 1597444ms] [LOG] [Learn] Filtered unlearned verses: {total: 3, unlearned: 0, filtered: Array(0)} @ http://localhost:5173/src/lib/components/LearningFlow.svelte?t=1777092345447:834
[ 1630471ms] [LOG] [Learn] Filtered unlearned verses: {total: 3, unlearned: 0, filtered: Array(0)} @ http://localhost:5173/src/lib/components/LearningFlow.svelte?t=1777092378478:834
[ 1640727ms] [LOG] [Learn] Filtered unlearned verses: {total: 3, unlearned: 0, filtered: Array(0)} @ http://localhost:5173/src/lib/components/LearningFlow.svelte?t=1777092388748:834
[ 1644392ms] [LOG] [Learn] Filtered unlearned verses: {total: 3, unlearned: 0, filtered: Array(0)} @ http://localhost:5173/src/lib/components/LearningFlow.svelte?t=1777092392365:834
[ 1704156ms] [LOG] [Learn] Filtered unlearned verses: {total: 3, unlearned: 0, filtered: Array(0)} @ http://localhost:5173/src/lib/components/LearningFlow.svelte?t=1777092452170:834
[ 1711600ms] [LOG] [Learn] Filtered unlearned verses: {total: 3, unlearned: 0, filtered: Array(0)} @ http://localhost:5173/src/lib/components/LearningFlow.svelte?t=1777092459566:834
