Book,Chapter,VerseCount
创世记,1,31
创世记,2,25
创世记,3,24
创世记,4,26
创世记,5,32
创世记,6,22
创世记,7,24
创世记,8,22
创世记,9,29
创世记,10,32
创世记,11,32
创世记,12,20
创世记,13,18
创世记,14,24
创世记,15,21
创世记,16,16
创世记,17,27
创世记,18,33
创世记,19,38
创世记,20,18
创世记,21,34
创世记,22,24
创世记,23,20
创世记,24,65
创世记,25,34
创世记,26,35
创世记,27,46
创世记,28,22
创世记,29,35
创世记,30,43
创世记,31,55
创世记,32,32
创世记,33,20
创世记,34,31
创世记,35,29
创世记,36,43
创世记,37,36
创世记,38,30
创世记,39,23
创世记,40,23
创世记,41,57
创世记,42,38
创世记,43,34
创世记,44,34
创世记,45,28
创世记,46,34
创世记,47,31
创世记,48,22
创世记,49,33
创世记,50,26
出埃及记,1,22
出埃及记,2,25
出埃及记,3,22
出埃及记,4,31
出埃及记,5,23
出埃及记,6,30
出埃及记,7,25
出埃及记,8,32
出埃及记,9,35
出埃及记,10,29
出埃及记,11,10
出埃及记,12,51
出埃及记,13,22
出埃及记,14,31
出埃及记,15,27
出埃及记,16,36
出埃及记,17,16
出埃及记,18,27
出埃及记,19,25
出埃及记,20,26
出埃及记,21,36
出埃及记,22,31
出埃及记,23,33
出埃及记,24,18
出埃及记,25,40
出埃及记,26,37
出埃及记,27,21
出埃及记,28,43
出埃及记,29,46
出埃及记,30,38
出埃及记,31,18
出埃及记,32,35
出埃及记,33,23
出埃及记,34,35
出埃及记,35,35
出埃及记,36,38
出埃及记,37,29
出埃及记,38,29
出埃及记,39,43
出埃及记,40,38
利未记,1,17
利未记,2,16
利未记,3,15
利未记,4,35
利未记,5,19
利未记,6,30
利未记,7,38
利未记,8,36
利未记,9,24
利未记,10,20
利未记,11,47
利未记,12,8
利未记,13,59
利未记,14,57
利未记,15,33
利未记,16,34
利未记,17,16
利未记,18,30
利未记,19,37
利未记,20,27
利未记,21,24
利未记,22,33
利未记,23,44
利未记,24,23
利未记,25,55
利未记,26,46
利未记,27,34
民数记,1,28
民数记,2,34
民数记,3,51
民数记,4,43
民数记,5,31
民数记,6,27
民数记,7,89
民数记,8,26
民数记,9,23
民数记,10,36
民数记,11,35
民数记,12,16
民数记,13,33
民数记,14,45
民数记,15,41
民数记,16,50
民数记,17,13
民数记,18,32
民数记,19,22
民数记,20,29
民数记,21,35
民数记,22,41
民数记,23,30
民数记,24,25
民数记,25,18
民数记,26,65
民数记,27,23
民数记,28,31
民数记,29,40
民数记,30,16
民数记,31,54
民数记,32,42
民数记,33,56
民数记,34,29
民数记,35,34
民数记,36,13
申命记,1,46
申命记,2,37
申命记,3,29
申命记,4,47
申命记,5,33
申命记,6,25
申命记,7,26
申命记,8,20
申命记,9,29
申命记,10,22
申命记,11,32
申命记,12,32
申命记,13,14
申命记,14,29
申命记,15,21
申命记,16,22
申命记,17,20
申命记,18,22
申命记,19,21
申命记,20,20
申命记,21,23
申命记,22,30
申命记,23,25
申命记,24,22
申命记,25,19
申命记,26,19
申命记,27,26
申命记,28,64
申命记,29,27
申命记,30,18
申命记,31,30
申命记,32,52
申命记,33,29
申命记,34,12
约书亚记,1,18
约书亚记,2,24
约书亚记,3,15
约书亚记,4,24
约书亚记,5,15
约书亚记,6,27
约书亚记,7,26
约书亚记,8,35
约书亚记,9,27
约书亚记,10,43
约书亚记,11,23
约书亚记,12,24
约书亚记,13,33
约书亚记,14,15
约书亚记,15,63
约书亚记,16,10
约书亚记,17,18
约书亚记,18,28
约书亚记,19,51
约书亚记,20,9
约书亚记,21,43
约书亚记,22,34
约书亚记,23,16
约书亚记,24,33
士师记,1,36
士师记,2,23
士师记,3,31
士师记,4,24
士师记,5,31
士师记,6,40
士师记,7,25
士师记,8,35
士师记,9,57
士师记,10,18
士师记,11,40
士师记,12,15
士师记,13,25
士师记,14,20
士师记,15,20
士师记,16,31
士师记,17,13
士师记,18,31
士师记,19,30
士师记,20,46
士师记,21,25
路得记,1,22
路得记,2,23
路得记,3,18
路得记,4,22
撒母耳记上,1,28
撒母耳记上,2,36
撒母耳记上,3,21
撒母耳记上,4,22
撒母耳记上,5,12
撒母耳记上,6,21
撒母耳记上,7,17
撒母耳记上,8,22
撒母耳记上,9,27
撒母耳记上,10,27
撒母耳记上,11,15
撒母耳记上,12,25
撒母耳记上,13,23
撒母耳记上,14,52
撒母耳记上,15,35
撒母耳记上,16,23
撒母耳记上,17,58
撒母耳记上,18,30
撒母耳记上,19,24
撒母耳记上,20,42
撒母耳记上,21,15
撒母耳记上,22,23
撒母耳记上,23,29
撒母耳记上,24,22
撒母耳记上,25,42
撒母耳记上,26,25
撒母耳记上,27,12
撒母耳记上,28,25
撒母耳记上,29,11
撒母耳记上,30,31
撒母耳记上,31,13
撒母耳记下,1,27
撒母耳记下,2,32
撒母耳记下,3,37
撒母耳记下,4,12
撒母耳记下,5,25
撒母耳记下,6,23
撒母耳记下,7,29
撒母耳记下,8,18
撒母耳记下,9,13
撒母耳记下,10,19
撒母耳记下,11,27
撒母耳记下,12,31
撒母耳记下,13,39
撒母耳记下,14,33
撒母耳记下,15,37
撒母耳记下,16,23
撒母耳记下,17,29
撒母耳记下,18,33
撒母耳记下,19,43
撒母耳记下,20,26
撒母耳记下,21,22
撒母耳记下,22,51
撒母耳记下,23,39
撒母耳记下,24,25
列王纪上,1,53
列王纪上,2,46
列王纪上,3,28
列王纪上,4,34
列王纪上,5,18
列王纪上,6,38
列王纪上,7,51
列王纪上,8,66
列王纪上,9,28
列王纪上,10,29
列王纪上,11,43
列王纪上,12,33
列王纪上,13,34
列王纪上,14,31
列王纪上,15,34
列王纪上,16,34
列王纪上,17,24
列王纪上,18,46
列王纪上,19,21
列王纪上,20,43
列王纪上,21,29
列王纪上,22,53
列王纪下,1,18
列王纪下,2,25
列王纪下,3,27
列王纪下,4,44
列王纪下,5,27
列王纪下,6,33
列王纪下,7,20
列王纪下,8,29
列王纪下,9,37
列王纪下,10,36
列王纪下,11,21
列王纪下,12,21
列王纪下,13,25
列王纪下,14,29
列王纪下,15,38
列王纪下,16,20
列王纪下,17,41
列王纪下,18,37
列王纪下,19,37
列王纪下,20,21
列王纪下,21,26
列王纪下,22,20
列王纪下,23,37
列王纪下,24,20
列王纪下,25,30
历代志上,1,54
历代志上,2,55
历代志上,3,24
历代志上,4,41
历代志上,5,26
历代志上,6,81
历代志上,7,40
历代志上,8,40
历代志上,9,44
历代志上,10,14
历代志上,11,47
历代志上,12,40
历代志上,13,14
历代志上,14,17
历代志上,15,29
历代志上,16,39
历代志上,17,27
历代志上,18,17
历代志上,19,19
历代志上,20,8
历代志上,21,30
历代志上,22,19
历代志上,23,32
历代志上,24,31
历代志上,25,31
历代志上,26,32
历代志上,27,34
历代志上,28,21
历代志上,29,30
历代志下,1,17
历代志下,2,18
历代志下,3,17
历代志下,4,22
历代志下,5,14
历代志下,6,42
历代志下,7,22
历代志下,8,18
历代志下,9,31
历代志下,10,19
历代志下,11,23
历代志下,12,16
历代志下,13,22
历代志下,14,15
历代志下,15,19
历代志下,16,14
历代志下,17,19
历代志下,18,34
历代志下,19,11
历代志下,20,37
历代志下,21,20
历代志下,22,12
历代志下,23,21
历代志下,24,27
历代志下,25,28
历代志下,26,23
历代志下,27,9
历代志下,28,27
历代志下,29,36
历代志下,30,25
历代志下,31,21
历代志下,32,33
历代志下,33,25
历代志下,34,33
历代志下,35,27
历代志下,36,23
